,GDP,Price,Quantity
1993,1258.13631894,1.99947696998,10481234.0
1994,1012.10518891,1.70992079261,18869198.0
1995,935.968091526,1.26580675868,25540562.0
1996,872.70918552,1.16405178253,36200393.0
1997,991.230101079,1.16965256274,44496581.0
1998,835.260298955,1.03638701945,44996788.0
1999,635.766241923,0.618953348692,74886946.0
2000,635.708963537,0.620597313595,94243795.0
2001,780.738024325,0.309584621002,113118526.0
2002,879.475048623,0.200409404235,128564376.0
2003,1048.52248791,0.159714641451,213976137.0
2004,1367.35243334,0.11877210607,193114661.0
2005,1828.71762577,0.108984665118,141031144.0
2006,2303.01883093,0.12855853021,144578722.0
2007,3068.608998,0.111427762448,156366166.0
2008,3891.03782318,0.111194202504,199360133.0
2009,2545.48034107,0.130106436109,150832177.0
2010,2973.99648072,0.109938158478,104747907.0
2011,3575.49064608,0.088007502456,103262185.0
2012,3873.45133731,0.107133416408,81811122.0
